statistic_yyy,ranking,lastname,age,population
112,277,裘,15~64歲,522
112,277,裘,65歲以上,163
112,278,蒙,0~14歲,63
112,278,蒙,15~64歲,597
112,278,蒙,65歲以上,82
112,279,肖,0~14歲,44
112,279,肖,15~64歲,637
112,279,肖,65歲以上,58
112,280,席,0~14歲,78
112,280,席,15~64歲,526
112,280,席,65歲以上,128
112,281,區,0~14歲,104
112,281,區,15~64歲,468
112,281,區,65歲以上,158
112,282,偕,0~14歲,86
112,282,偕,15~64歲,507
112,282,偕,65歲以上,117
112,283,初,0~14歲,69
112,283,初,15~64歲,547
112,283,初,65歲以上,85
112,284,叢,0~14歲,80
112,284,叢,15~64歲,474
112,284,叢,65歲以上,146
112,285,郁,0~14歲,79
112,285,郁,15~64歲,493
112,285,郁,65歲以上,120
112,286,阿,0~14歲,14
112,286,阿,15~64歲,89
112,286,阿,65歲以上,587
112,287,兵,0~14歲,72
112,287,兵,15~64歲,480
112,287,兵,65歲以上,123
112,288,米,0~14歲,119
112,288,米,15~64歲,479
112,288,米,65歲以上,74
112,289,邊,0~14歲,68
112,289,邊,15~64歲,483
112,289,邊,65歲以上,118
112,290,甄,0~14歲,65
112,290,甄,15~64歲,496
112,290,甄,65歲以上,105
112,291,明,0~14歲,78
112,291,明,15~64歲,491
112,291,明,65歲以上,90
112,292,勞,0~14歲,55
112,292,勞,15~64歲,488
112,292,勞,65歲以上,99
112,293,郎,0~14歲,65
112,293,郎,15~64歲,442
112,293,郎,65歲以上,126
112,294,鞠,0~14歲,82
112,294,鞠,15~64歲,444
112,294,鞠,65歲以上,106
112,295,荊,0~14歲,70
112,295,荊,15~64歲,465
112,295,荊,65歲以上,92
112,296,茆,0~14歲,79
112,296,茆,15~64歲,432
112,296,茆,65歲以上,112
112,297,奚,0~14歲,57
112,297,奚,15~64歲,440
112,297,奚,65歲以上,123
112,298,景,0~14歲,67
112,298,景,15~64歲,459
112,298,景,65歲以上,93
112,299,聞,0~14歲,74
112,299,聞,15~64歲,432
112,299,聞,65歲以上,113
112,300,盤,0~14歲,65
112,300,盤,15~64歲,448
112,300,盤,65歲以上,92
112,301,𨶒,0~14歲,42
112,301,𨶒,15~64歲,450
112,301,𨶒,65歲以上,113
